month,simulation_id,traditional_salary,ai_salary,lambda_shock
0,0,5268.102461362335,5977.715862907841,0.449
1,0,5168.37774967819,5989.150758659209,0.4496615428979809
2,0,5054.4572743816825,5965.242404552233,0.3898613372921506
3,0,4973.504766509278,5951.818915299418,0.3888088331026279
4,0,5016.752048603606,6009.281421386551,0.26817836579972953
5,0,5063.319147828378,6029.392379847006,0.23714584572850678
6,0,4938.186097355015,5996.464414094585,0.23851293171790283
7,0,4890.8267235154,5979.563109434109,0.23874794122225743
8,0,4784.14730254916,5962.465971510557,0.2513609400758983
9,0,4662.893539640273,5932.345870951991,0.2803834931319326
10,0,4605.5014191318105,5903.889561159271,0.3217615539052369
11,0,4585.654700069926,5914.50875822312,0.36258378822568527
12,0,4524.248479381302,5920.808338018184,0.3875181361704504
13,0,4436.375653114181,5888.450827755532,0.3575643080925773
14,0,4385.399797998958,5870.656629459317,0.3992741298118226
15,0,4383.190646154699,5840.779993540423,0.3657351144985993
16,0,4299.754409605881,5866.906676016,0.41959623103777066
17,0,4232.967775952285,5847.447773140394,0.4712957760682552
18,0,4238.9925668326005,5866.979979617928,0.3505016965555372
19,0,4274.0428009801135,5883.853210802089,0.35669963290042395
20,0,4265.983060031597,5859.814448844152,0.3904647777116974
21,0,4344.311112885686,5888.842675997495,0.45171815566064555
22,0,4290.227252615497,5877.783930132683,0.3989056654267479
23,0,4298.649238013758,5882.74409169643,0.3146753847706929
24,0,4256.599371805443,5867.469982036694,0.22856938079162412
25,0,4270.132389321463,5891.55699663514,0.2399574301408792
26,0,4206.648112719817,5875.89785634052,0.2644945616599599
27,0,4272.4891210393025,5867.5702537231355,0.25083146853952953
28,0,4235.64742390295,5880.337226223195,0.2074403935640553
29,0,4152.998185884905,5864.719933245618,0.2660321728821859
30,0,4101.744797782317,5863.353939999854,0.29972518598618064
31,0,3999.5945832922266,5837.453452808636,0.21784863519271208
32,0,4086.4979601418822,5860.9653057522155,0.2457141640664528
33,0,4158.388439428182,5887.455688184213,0.30080192785553145
34,0,4059.9476555904835,5856.319111522532,0.2734534410990771
35,0,3977.0123732582856,5820.656145833877,0.2635516700261014
36,0,3963.472620860982,5822.25763506768,0.28407362361787786
37,0,4032.523831266396,5842.934925734315,0.2797012030289347
38,0,4000.8032117185257,5855.60631657436,0.2761291181680676
39,0,4048.9114093056746,5872.341230151791,0.2886042061364012
40,0,3978.4083790622753,5869.913154821775,0.3050504137932325
41,0,3929.8076224634146,5848.776747636714,0.45057478553715447
42,0,3816.910348476803,5815.146145090653,0.49244450909051357
43,0,3784.7032538895246,5841.095981007427,0.3990075797492922
44,0,3749.4388819476267,5857.100033493765,0.38772302529390285
45,0,3732.238707119633,5859.102077668459,0.37312924766661193
46,0,3729.733834013721,5860.245803937516,0.3024542267822343
47,0,3604.150732247601,5800.066646921892,0.3134336849294734
48,0,3666.217112451253,5813.053098308377,0.24856489550013602
49,0,3769.7430335070367,5813.541073190032,0.2265174480165074
50,0,3716.3270786483035,5826.741232993413,0.2274004863070389
51,0,3668.9381145081807,5809.625069704119,0.17006485664106202
52,0,3624.3355911418453,5803.725265052029,0.11595829212872011
53,0,3612.689646467559,5797.494939131809,0.08421521276177768
