date,year_month,salary_traditional,salary_ai,ai_premium_rate,growth_traditional,growth_ai,lambda_t,cumulative_lambda,lambda_ma3,shock_level
2023-01-01,2023-01-01,5739.696622781911,5756.226949055523,0.28799999999999937,,,0.0096,0.0096,0.0096,Low
2023-02-01,2023-02-01,5726.924728105324,5763.863392601604,0.6450000000000067,-0.2225186367149301,0.1326640456268624,0.0215,0.031099999999999996,0.015549999999999998,Low
2023-03-01,2023-03-01,5709.215798511735,5774.300858614769,1.1400000000000077,-0.3092223214787748,0.18108454871714752,0.038,0.0691,0.023033333333333333,Low
2023-04-01,2023-04-01,5701.917572982256,5778.551345163137,1.3439999999999896,-0.1278323641467627,0.07361041020275128,0.0447999999999999,0.11389999999999989,0.03476666666666663,Low
2023-05-01,2023-05-01,5693.6534058385805,5783.328446980538,1.574999999999993,-0.14493662943909635,0.08266954002924543,0.0525,0.16639999999999988,0.04509999999999997,Low
2023-06-01,2023-06-01,5695.799942759016,5782.091311891815,1.5149999999999997,0.037700519638828034,-0.02139140289305619,0.0505,0.21689999999999987,0.04926666666666663,Low
2023-07-01,2023-07-01,5702.776187750429,5778.052833428736,1.3200000000000323,0.12248051303631602,-0.06984459852394931,0.044,0.26089999999999985,0.04900000000000001,Low
2023-08-01,2023-08-01,5704.922724670864,5776.804751001717,1.2599999999999945,0.03764020978143101,-0.021600398317556113,0.042,0.30289999999999984,0.045500000000000006,Low
2023-09-01,2023-09-01,5702.776187750429,5778.052833428736,1.3200000000000323,-0.037626047258321194,0.021605065097674014,0.044,0.3468999999999998,0.043333333333333335,Low
2023-10-01,2023-10-01,5704.493417286778,5777.054573554666,1.2720000000000065,0.03011216782515813,-0.017276752270167783,0.0424,0.3892999999999998,0.042800000000000005,Low
2023-11-01,2023-11-01,5671.114768174012,5796.162848812249,2.2049999999999903,-0.5851290670546794,0.3307615500995009,0.0735,0.4627999999999998,0.05329999999999999,Low
2023-12-01,2023-12-01,5672.295363480252,5795.497618775043,2.171999999999996,0.020817693778041324,-0.011477076378940687,0.0724,0.5351999999999998,0.06276666666666668,Low
2024-01-01,2024-01-01,5670.041499713795,5796.766927232399,2.235000000000009,-0.03973459811291713,0.021901630211096368,0.0745,0.6096999999999998,0.07346666666666667,Low
2024-02-01,2024-02-01,5550.908700629651,5859.816769819691,5.564999999999998,-2.101092189363285,1.0876725488322192,0.1855,0.7951999999999998,0.11080000000000001,Medium
2024-03-01,2024-03-01,5639.238694905553,5813.829524899829,3.09600000000001,1.5912708898613737,-0.7847898104376583,0.1032,0.8983999999999998,0.12106666666666666,Medium
2024-04-01,2024-04-01,5666.821694333143,5798.575298726389,2.3249999999999993,0.48912629735833324,-0.26237828453876677,0.0775,0.9758999999999998,0.12206666666666666,Low
2024-05-01,2024-05-01,5661.991986262164,5801.276989124212,2.4599999999999955,-0.08522781078164066,0.04659231377779349,0.082,1.0578999999999998,0.08756666666666667,Low
2024-06-01,2024-06-01,5593.73211219233,5838.06633085289,4.367999999999994,-1.2055805489561755,0.6341593721114869,0.1456,1.2034999999999998,0.1017,Medium
2024-07-01,2024-07-01,5536.419576416714,5866.943825128791,5.969999999999986,-1.024584921589189,0.4946414213091277,0.1989999999999999,1.4024999999999996,0.14219999999999997,Medium
2024-08-01,2024-08-01,5595.449341728678,5837.172753291356,4.3199999999999905,1.0662083047934034,-0.5074374789464042,0.144,1.5464999999999995,0.16286666666666663,Medium
2024-09-01,2024-09-01,5610.90440755581,5829.05637092158,3.8880000000000026,0.276207769622272,-0.1390464650065204,0.1296,1.6760999999999995,0.15753333333333328,Medium
2024-10-01,2024-10-01,5595.985975958786,5836.893172223812,4.305000000000003,-0.2658828330230456,0.13444373846385194,0.1435,1.8195999999999994,0.13903333333333331,Medium
2024-11-01,2024-11-01,5582.570120206067,5843.834401831711,4.679999999999995,-0.23974069646270912,0.11891993571049309,0.156,1.9755999999999994,0.14303333333333332,Medium
2024-12-01,2024-12-01,5489.410417859187,5889.259072696051,7.284000000000002,-1.6687600933070201,0.7773093441884926,0.2428,2.2183999999999995,0.18076666666666666,Medium
2025-01-01,2025-01-01,5472.023468803664,5897.199692329709,7.77000000000001,-0.31673618352447974,0.1348322350170239,0.259,2.4773999999999994,0.21926666666666664,Medium
2025-02-01,2025-02-01,5353.963938179737,5946.647746136234,11.070000000000002,-2.15751140865883,0.838500583096069,0.369,2.846399999999999,0.2902666666666667,High
2025-03-01,2025-03-01,5381.654264453348,5935.749387521465,10.295999999999994,0.5171929918344809,-0.18326894546343286,0.3432,3.189599999999999,0.3237333333333334,High
2025-04-01,2025-04-01,5388.308528906697,5933.066521179164,10.109999999999996,0.1236471933416583,-0.04519844365298287,0.337,3.5265999999999993,0.3497333333333333,High
2025-05-01,2025-05-01,5396.358042358329,5929.78803484545,9.88500000000001,0.14938850306083218,-0.055257872501690564,0.3295,3.856099999999999,0.3365666666666667,High
2025-06-01,2025-06-01,5343.016599885518,5950.838168288496,11.376000000000008,-0.9884711513600597,0.3549896441381595,0.3792,4.235299999999999,0.3485666666666667,High
2025-07-01,2025-07-01,5348.597595878649,5948.710246136235,11.220000000000008,0.10445402683665339,-0.03575836028613111,0.374,4.609299999999998,0.3609,High
2025-08-01,2025-08-01,5354.607899255868,5946.399164281626,11.051999999999996,0.11237157534247366,-0.03885013320508168,0.3684,4.977699999999999,0.3738666666666666,High
2025-09-01,2025-09-01,5268.639095592444,5977.534485904407,13.454999999999995,-1.6055107167673333,0.5235995896441414,0.4485,5.426199999999999,0.3969666666666667,High
2025-10-01,2025-10-01,5064.718088151117,6034.864837936464,19.155000000000012,-3.87046832666752,0.9590969682776063,0.6385000000000001,6.064699999999998,0.48513333333333336,Extreme
2025-11-01,2025-11-01,5000.0,6048.2,20.964000000000006,-1.2778221220747565,0.2209686947702405,0.6988,6.763499999999999,0.5952666666666667,Extreme
2025-12-01,2025-12-01,5268.102461362335,5977.715862907841,13.470000000000004,5.362049227246701,-1.1653737821526788,0.449,7.212499999999999,0.5954333333333334,High
